Priority,State,County,Action,Phone,Email,Website,Instructions,Status,Notes,Date Completed
LOW,GA,Glynn,PHONE_REQUEST,(912) 554-7000,,https://www.localoffices.org/treasurer-tax-collector/georgia/glynn-county,Call county office and request excess proceeds list. Ask: 1) Do you have an excess proceeds or surplus funds list? 2) Can you email it to claim@usforeclosurerecovery.com? 3) Is it available online?,NOT STARTED,,
LOW,GA,Gordon,EMAIL_FOIA,(706) 629-9242,propertytax@gordoncountyga.gov,https://www.gordoncountyga.gov/417/Tax-Commissioners-Office,"Send FOIA email requesting current excess proceeds/surplus funds list for Gordon, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Grady,EMAIL_FOIA,(229) 377-3322,jworsham@gradyco.org,https://gradycountyga.gov/services/tax-commissioner,"Send FOIA email requesting current excess proceeds/surplus funds list for Grady, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Greene,EMAIL_FOIA,(706) 453-3358,cthurmond@greenecountyga.gov,https://www.greenecountyga.gov/directory.aspx?did=35,"Send FOIA email requesting current excess proceeds/surplus funds list for Greene, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Gwinnett,EMAIL_FOIA,(770) 822-8818,tag@gwinnettcounty.com,https://www.gwinnettcounty.com/departments/boardofcommissioners/,"Send FOIA email requesting current excess proceeds/surplus funds list for Gwinnett, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Habersham,EMAIL_FOIA,(706) 839-0120,jblack@habershamga.com,https://datausa.io/profile/geo/habersham-county-ga,"Send FOIA email requesting current excess proceeds/surplus funds list for Habersham, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Hall,EMAIL_FOIA,(770) 531-6960,taxcommissioner@hallcounty.org,https://hallcountytax.org/contact-us,"Send FOIA email requesting current excess proceeds/surplus funds list for Hall, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Hancock,EMAIL_FOIA,(706) 444-5148,support@governmentwindow.com,https://tax.hancockcountygapay.com/contact.html,"Send FOIA email requesting current excess proceeds/surplus funds list for Hancock, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Haralson,PHONE_REQUEST,(770) 646-2020,,https://www.haralsoncountyga.gov/tax-commissioner.cfm,Call county office and request excess proceeds list. Ask: 1) Do you have an excess proceeds or surplus funds list? 2) Can you email it to claim@usforeclosurerecovery.com? 3) Is it available online?,NOT STARTED,,
LOW,GA,Harris,EMAIL_FOIA,(706) 628-4843,vjamerson@harriscountyga.gov,https://harriscountygatax.com/contact.html,"Send FOIA email requesting current excess proceeds/surplus funds list for Harris, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Hart,EMAIL_FOIA,(706) 376-3944,Kmartin@hartcountyga.gov,https://www.hartcountypay.com/contact.html,"Send FOIA email requesting current excess proceeds/surplus funds list for Hart, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Heard,EMAIL_FOIA,(706) 675-3391,heardtc@heardcountyga.com,https://www.heardcountyga.com/taxCommissioners.html,"Send FOIA email requesting current excess proceeds/surplus funds list for Heard, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Henry,EMAIL_FOIA,(770) 288-8180,mvtags@henrycountyga.gov,https://www.henrycountytax.com/9/Contact-Us,"Send FOIA email requesting current excess proceeds/surplus funds list for Henry, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Houston,EMAIL_FOIA,(478) 542-2110,taxquestions@houstoncountyga.gov,https://www.houstoncountytax.com/contact.html,"Send FOIA email requesting current excess proceeds/surplus funds list for Houston, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Irwin,PHONE_REQUEST,(229) 468-5505,,https://tax.irwincountypay.com/contact.html,Call county office and request excess proceeds list. Ask: 1) Do you have an excess proceeds or surplus funds list? 2) Can you email it to claim@usforeclosurerecovery.com? 3) Is it available online?,NOT STARTED,,
LOW,GA,Jackson,EMAIL_FOIA,(706) 367-6326,ctaylor@jacksoncountygov.com,https://jacksoncountygatax.com,"Send FOIA email requesting current excess proceeds/surplus funds list for Jackson, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Jasper,EMAIL_FOIA,(706) 468-4902,awalsh@jaspercountyga.org,https://jaspercountygatax.com/contact-us,"Send FOIA email requesting current excess proceeds/surplus funds list for Jasper, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Jeff Davis,EMAIL_FOIA,(912) 375-6622,susan.kersey@jeffdaviscountyga.gov,https://georgiataxoffice.com/Georgia-Tax-Commissioner/index.php?countyName=Jeff-Davis,"Send FOIA email requesting current excess proceeds/surplus funds list for Jeff Davis, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Jefferson,EMAIL_FOIA,(478) 625-7736,nmcgraw@jeffersoncountyga.gov,https://www.jeffersoncountygataxes.com/contact.html,"Send FOIA email requesting current excess proceeds/surplus funds list for Jefferson, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Jenkins,EMAIL_FOIA,(478) 982-4925,jctc30442@yahoo.com,https://www.jenkinscountytax.com/contact.html,"Send FOIA email requesting current excess proceeds/surplus funds list for Jenkins, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Johnson,EMAIL_FOIA,(478) 864-2565,jctc@washemc.net,https://www.johnsoncountytaxoffice.org/search,"Send FOIA email requesting current excess proceeds/surplus funds list for Johnson, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Jones,EMAIL_FOIA,(478) 986-6538,brian.jackson@jonescountyga.org,https://jonescountytaxes.com/contact.html,"Send FOIA email requesting current excess proceeds/surplus funds list for Jones, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Lamar,EMAIL_FOIA,(770) 358-5162,lkilchriss@lamarcountyga.com,https://www.lamarcountyga.com/departments/tax-commissioner,"Send FOIA email requesting current excess proceeds/surplus funds list for Lamar, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Lanier,EMAIL_FOIA,(229) 482-3795,support@governmentwindow.com,https://laniercountyboc.com/wp/tax-commissioner,"Send FOIA email requesting current excess proceeds/surplus funds list for Lanier, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Laurens,EMAIL_FOIA,(864) 984-4742,cburke@laurenscountysc.gov,https://www.laurenscountysc.gov/departments/treasurer/index.php,"Send FOIA email requesting current excess proceeds/surplus funds list for Laurens, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Lee,EMAIL_FOIA,(229) 759-6015,pamela.johnson@lee.ga.us,https://www.leecountytreasurer.com/meet-the-treasurer,"Send FOIA email requesting current excess proceeds/surplus funds list for Lee, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Liberty,EMAIL_FOIA,(912) 876-3389,James.sharp@libertycountyga.gov,https://libertycountygatax.com/property-tax,"Send FOIA email requesting current excess proceeds/surplus funds list for Liberty, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Lincoln,EMAIL_FOIA,(706) 359-7970,lcda@lincolncountyga.org,https://lincolncountyga.org/contact-us.php,"Send FOIA email requesting current excess proceeds/surplus funds list for Lincoln, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Long,EMAIL_FOIA,(912) 545-2127,info@longcountyga.gov,https://www.longcountyga.gov/contact-us,"Send FOIA email requesting current excess proceeds/surplus funds list for Long, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Lowndes,EMAIL_FOIA,(229) 671-2579,support@governmentwindow.com,https://lowndescountytax.com,"Send FOIA email requesting current excess proceeds/surplus funds list for Lowndes, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Lumpkin,EMAIL_FOIA,(706) 864-2666,Mike.Young@LumpkinCounty.gov,https://www.lumpkincountytax.com/contact.html,"Send FOIA email requesting current excess proceeds/surplus funds list for Lumpkin, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Macon,EMAIL_FOIA,(478) 472-7031,rhondares@alltel.net,https://tax.maconcountypay.com,"Send FOIA email requesting current excess proceeds/surplus funds list for Macon, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Madison,PHONE_REQUEST,(850) 973-6136,,https://www.madisoncountyga.us/government-offices/tax-commissioner,Call county office and request excess proceeds list. Ask: 1) Do you have an excess proceeds or surplus funds list? 2) Can you email it to claim@usforeclosurerecovery.com? 3) Is it available online?,NOT STARTED,,
LOW,GA,Marion,PHONE_REQUEST,(352) 368-8200,,https://www.marioncountyga.org/government-courts/constitutional-offices/tax-commissioner,Call county office and request excess proceeds list. Ask: 1) Do you have an excess proceeds or surplus funds list? 2) Can you email it to claim@usforeclosurerecovery.com? 3) Is it available online?,NOT STARTED,,
LOW,GA,McDuffie,EMAIL_FOIA,(706) 595-2132,support@governmentwindow.com,https://www.thomson-mcduffie.gov/244/Tax-Commissioner,"Send FOIA email requesting current excess proceeds/surplus funds list for McDuffie, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,McIntosh,EMAIL_FOIA,(912) 437-6627,support@governmentwindow.com,https://www.mcintoshcountypay.com/contact.html,"Send FOIA email requesting current excess proceeds/surplus funds list for McIntosh, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Meriwether,EMAIL_FOIA,(706) 672-4219,d.cruse@meriwethercountyga.gov,https://www.meriwethercountyga.gov/directory.aspx?did=17,"Send FOIA email requesting current excess proceeds/surplus funds list for Meriwether, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Miller,EMAIL_FOIA,(229) 758-4101,info@millercountytax.com,https://www.millercountyga.gov/taxcommissioner.html,"Send FOIA email requesting current excess proceeds/surplus funds list for Miller, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Mitchell,EMAIL_FOIA,(229) 336-2010,bbrock@mitchellcountyga.net,https://www.mitchellcountyga.net/taxcommissioner.html,"Send FOIA email requesting current excess proceeds/surplus funds list for Mitchell, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Monroe,EMAIL_FOIA,(478) 994-7020,landrews@monroecoga.org,https://www.monroecountytax.com,"Send FOIA email requesting current excess proceeds/surplus funds list for Monroe, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Montgomery,EMAIL_FOIA,(912) 583-2571,rperry@montcoga.gov,https://www.montgomerycountypay.com/contact.html,"Send FOIA email requesting current excess proceeds/surplus funds list for Montgomery, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Morgan,EMAIL_FOIA,(706) 342-0464,Wendy.coe@morgancountyga.gov,https://www.morgancountyga.gov/directory.aspx?did=26,"Send FOIA email requesting current excess proceeds/surplus funds list for Morgan, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Murray,EMAIL_FOIA,(706) 695-3423,murraytax@murraycountyga.gov,https://www.murraycountypay.com/contact.html,"Send FOIA email requesting current excess proceeds/surplus funds list for Murray, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Muscogee,EMAIL_FOIA,(706) 653-4211,taxcommissioner@columbusga.org,https://www.columbusga.gov/taxcommissioner/Home,"Send FOIA email requesting current excess proceeds/surplus funds list for Muscogee, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Newton,EMAIL_FOIA,(770) 784-2020,dray@co.newton.ga.us,https://newtoncountytax.com/contact-us,"Send FOIA email requesting current excess proceeds/surplus funds list for Newton, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Oconee,EMAIL_FOIA,(706) 769-3917,taxoffice@oconee.ga.us,https://countyinfo.hoursguide.com/oconee-county-ga-treasurer-tax-collector-office,"Send FOIA email requesting current excess proceeds/surplus funds list for Oconee, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Oglethorpe,EMAIL_FOIA,(706) 743-8422,taxcommissioner@oglethorpecountyga.gov,https://www.oglethorpecountypay.com/contact.html,"Send FOIA email requesting current excess proceeds/surplus funds list for Oglethorpe, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Paulding,EMAIL_FOIA,(419) 574-5500,support@governmentwindow.com,https://www.pauldingcountytreasurer.com/real-estate-tax,"Send FOIA email requesting current excess proceeds/surplus funds list for Paulding, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Peach,EMAIL_FOIA,(478) 825-3161,angela-howard@peachcounty.net,https://www.peachcountytax.com/contact.html,"Send FOIA email requesting current excess proceeds/surplus funds list for Peach, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Pickens,EMAIL_FOIA,(706) 253-8882,sgooch@pickenscountyga.gov,https://www.pickenscountyga.gov/178/Tax-Commissioner,"Send FOIA email requesting current excess proceeds/surplus funds list for Pickens, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Pierce,PHONE_REQUEST,(912) 449-2022,,https://piercecountyga.gov/department-directory,Call county office and request excess proceeds list. Ask: 1) Do you have an excess proceeds or surplus funds list? 2) Can you email it to claim@usforeclosurerecovery.com? 3) Is it available online?,NOT STARTED,,
LOW,GA,Pike,EMAIL_FOIA,(770) 567-2001,piketax@pikecoga.com,https://countyinfo.hoursguide.com/pike-county-ga-treasurer-tax-collector-office,"Send FOIA email requesting current excess proceeds/surplus funds list for Pike, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Polk,EMAIL_FOIA,(770) 749-2125,taxoffice@polkga.org,https://www.polkcountypay.com/contact.html,"Send FOIA email requesting current excess proceeds/surplus funds list for Polk, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Pulaski,EMAIL_FOIA,(574) 946-3632,treasurersoffice@pulaskicounty.in.gov,https://www.pulaskicountypay.com/contact.html,"Send FOIA email requesting current excess proceeds/surplus funds list for Pulaski, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Putnam,EMAIL_FOIA,(706) 485-5441,lbutterworth@putnamcountyga.us,https://www.putnamcountyga.us/contact,"Send FOIA email requesting current excess proceeds/surplus funds list for Putnam, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Quitman,EMAIL_FOIA,(229) 334-9000,taxassessors@brookscountyga.gov,https://georgia.gov/pay-property-taxes,"Send FOIA email requesting current excess proceeds/surplus funds list for Quitman, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Rabun,EMAIL_FOIA,(706) 782-3613,Lauren.Benfield@rabuncounty.ga.gov,https://www.rabuncountytax.com,"Send FOIA email requesting current excess proceeds/surplus funds list for Rabun, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Randolph,EMAIL_FOIA,(844) 277-6555,mlee@randolphcounty-mo.gov,https://www.randolphcountycollector.com,"Send FOIA email requesting current excess proceeds/surplus funds list for Randolph, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Richmond,PHONE_REQUEST,(706) 821-2391,,https://richmondcountytax.mystagingwebsite.com,Call county office and request excess proceeds list. Ask: 1) Do you have an excess proceeds or surplus funds list? 2) Can you email it to claim@usforeclosurerecovery.com? 3) Is it available online?,NOT STARTED,,
LOW,GA,Rockdale,EMAIL_FOIA,(770) 278-7600,propertytax@rockdalecountyga.gov,https://www.co.camden.ga.us/93/Types-of-Exemptions,"Send FOIA email requesting current excess proceeds/surplus funds list for Rockdale, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Schley,EMAIL_FOIA,(229) 937-2689,schleytaxcomm@gmail.com,https://schleycountyga.us/pages/taxes,"Send FOIA email requesting current excess proceeds/surplus funds list for Schley, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Screven,EMAIL_FOIA,(912) 564-2206,sctaxcomm@planters.net,https://www.screvencountyboc.com/directory-1,"Send FOIA email requesting current excess proceeds/surplus funds list for Screven, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Seminole,EMAIL_FOIA,(407) 665-1000,countymanager@seminolecountyga.com,https://seminolecounty.tax/services/motorist-services/tag-title-registration,"Send FOIA email requesting current excess proceeds/surplus funds list for Seminole, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Spalding,EMAIL_FOIA,(770) 467-4360,shollums@spaldingcounty.com,https://spaldingcountytaxga.com/contact-us,"Send FOIA email requesting current excess proceeds/surplus funds list for Spalding, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Stephens,PHONE_REQUEST,(706) 886-4753,,https://stephenscountyga.gov/tax-commissioner,Call county office and request excess proceeds list. Ask: 1) Do you have an excess proceeds or surplus funds list? 2) Can you email it to claim@usforeclosurerecovery.com? 3) Is it available online?,NOT STARTED,,
LOW,GA,Stewart,EMAIL_FOIA,(229) 838-4267,info@stewartcountyga.gov,https://stewartcountyga.gov/CountyDirectory.htm,"Send FOIA email requesting current excess proceeds/surplus funds list for Stewart, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Sumter,PHONE_REQUEST,(229) 928-4500,,https://www.sumtercountyga.us/directory.aspx?did=15,Call county office and request excess proceeds list. Ask: 1) Do you have an excess proceeds or surplus funds list? 2) Can you email it to claim@usforeclosurerecovery.com? 3) Is it available online?,NOT STARTED,,
LOW,GA,Talbot,EMAIL_FOIA,(706) 665-3240,talbotcommish@pstel.net,https://talbotcountytax.com/contact-us,"Send FOIA email requesting current excess proceeds/surplus funds list for Talbot, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Taliaferro,EMAIL_FOIA,(706) 456-2520,taliaferrotaxcommissioner@yahoo.com,https://taliaferrocountyga.org/tax-commissioner-2,"Send FOIA email requesting current excess proceeds/surplus funds list for Taliaferro, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Tattnall,EMAIL_FOIA,(912) 557-6736,tattnall060@yahoo.com,https://www.tattnallcountyga.com/contact.cfm,"Send FOIA email requesting current excess proceeds/surplus funds list for Tattnall, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Taylor,EMAIL_FOIA,(478) 862-3336,aqueen@taylorga.us,https://taylorcountyga.com/departments-tax-office.php,"Send FOIA email requesting current excess proceeds/surplus funds list for Taylor, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Telfair,EMAIL_FOIA,(229) 868-6545,rogers@telfairco.org,https://www.georgiataxoffice.com/Georgia-Tax-Commissioner/index.php?countyName=Telfair,"Send FOIA email requesting current excess proceeds/surplus funds list for Telfair, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Terrell,EMAIL_FOIA,(229) 995-5151,maryellentaxcom@windstream.net,https://www.terrellcountycourthouse.com/page41.html,"Send FOIA email requesting current excess proceeds/surplus funds list for Terrell, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Thomas,EMAIL_FOIA,(229) 225-4136,support@governmentwindow.com,https://www.thomascountytax.com/contact.html,"Send FOIA email requesting current excess proceeds/surplus funds list for Thomas, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Tift,PHONE_REQUEST,(229) 386-7820,,https://www.tiftcounty.org/government/tax_commissioner/index.php,Call county office and request excess proceeds list. Ask: 1) Do you have an excess proceeds or surplus funds list? 2) Can you email it to claim@usforeclosurerecovery.com? 3) Is it available online?,NOT STARTED,,
LOW,GA,Toombs,EMAIL_FOIA,(912) 526-8575,gmwill@accessvidalia.net,https://www.thecountyoffice.com/lyons-ga-treasurer-tax-collector-office-419021,"Send FOIA email requesting current excess proceeds/surplus funds list for Toombs, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Towns,EMAIL_FOIA,(706) 896-2267,taxcommissioner@townscountyga.com,https://tax.townscountypay.com/contact.html,"Send FOIA email requesting current excess proceeds/surplus funds list for Towns, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Treutlen,EMAIL_FOIA,(912) 529-3213,penny.wheeler@treutlengov.us,https://tax.treutlencountygapay.com,"Send FOIA email requesting current excess proceeds/surplus funds list for Treutlen, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Troup,EMAIL_FOIA,(706) 883-1620,sfrailey@troupco.org,https://troupcountytax.com,"Send FOIA email requesting current excess proceeds/surplus funds list for Troup, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Turner,PHONE_REQUEST,(229) 567-3636,,https://www.countyoffice.org/turner-county-tax-commissioners-office-ashburn-ga-741,Call county office and request excess proceeds list. Ask: 1) Do you have an excess proceeds or surplus funds list? 2) Can you email it to claim@usforeclosurerecovery.com? 3) Is it available online?,NOT STARTED,,
LOW,GA,Twiggs,EMAIL_FOIA,(478) 945-3359,info@twiggscounty.com,https://www.twiggscounty.us/tax-commissioner,"Send FOIA email requesting current excess proceeds/surplus funds list for Twiggs, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Union,PHONE_REQUEST,(706) 439-6018,,https://countyinfo.hoursguide.com/union-county-ga-treasurer-tax-collector-office,Call county office and request excess proceeds list. Ask: 1) Do you have an excess proceeds or surplus funds list? 2) Can you email it to claim@usforeclosurerecovery.com? 3) Is it available online?,NOT STARTED,,
LOW,GA,Upson,PHONE_REQUEST,(706) 647-8931,,https://www.upsoncountyga.org/Directory.aspx?did=38,Call county office and request excess proceeds list. Ask: 1) Do you have an excess proceeds or surplus funds list? 2) Can you email it to claim@usforeclosurerecovery.com? 3) Is it available online?,NOT STARTED,,
LOW,GA,Walker,EMAIL_FOIA,(706) 638-2929,carolyn.w@walkergatax.com,https://walkercountytax.com/contact-us,"Send FOIA email requesting current excess proceeds/surplus funds list for Walker, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Walton,EMAIL_FOIA,(770) 267-1335,WCTC@co.walton.ga.us,https://tax.waltoncountypay.com,"Send FOIA email requesting current excess proceeds/surplus funds list for Walton, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Ware,EMAIL_FOIA,(912) 287-4305,waretax@warecountyga.gov,https://www.warecountytax.com/contact.html,"Send FOIA email requesting current excess proceeds/surplus funds list for Ware, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Warren,EMAIL_FOIA,(706) 465-2231,Tax@warrencountyga.gov,https://www.warrencountyga.com/tax-commissioner.html,"Send FOIA email requesting current excess proceeds/surplus funds list for Warren, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Washington,EMAIL_FOIA,(478) 552-2144,wboa@washingtoncountyga.gov,https://www.washingtoncountyga.gov/Directory.aspx?did=19,"Send FOIA email requesting current excess proceeds/surplus funds list for Washington, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Wayne,EMAIL_FOIA,(912) 427-5910,aoquinn@waynecountyga.us,https://www.waynecountyga.us/department/index.php?structureid=31,"Send FOIA email requesting current excess proceeds/surplus funds list for Wayne, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Webster,EMAIL_FOIA,(229) 828-3690,webstertaxassessor@windstream.net,https://webstercountyga.org/taxcommissioner,"Send FOIA email requesting current excess proceeds/surplus funds list for Webster, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Wheeler,EMAIL_FOIA,(912) 568-7131,cindy.brown@co.wheeler.tx.us,https://wheelercountytax.org,"Send FOIA email requesting current excess proceeds/surplus funds list for Wheeler, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,White,EMAIL_FOIA,(706) 865-2225,barbara.nydegger@whitecounty.in.gov,https://www.whitecountyga.gov/tax-commissioner,"Send FOIA email requesting current excess proceeds/surplus funds list for White, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Whitfield,EMAIL_FOIA,(706) 275-7510,support@governmentwindow.com,https://www.whitfieldcountyga.com/how_do_i/contact_us/index.php,"Send FOIA email requesting current excess proceeds/surplus funds list for Whitfield, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Wilcox,EMAIL_FOIA,(229) 467-2025,brittany.wilcoxcountytc@gmail.com,https://tax.wilcoxcountypay.com/contact.html,"Send FOIA email requesting current excess proceeds/surplus funds list for Wilcox, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Wilkes,PHONE_REQUEST,(706) 678-2422,,https://www.wilkescountyga.org/tax-commissioner,Call county office and request excess proceeds list. Ask: 1) Do you have an excess proceeds or surplus funds list? 2) Can you email it to claim@usforeclosurerecovery.com? 3) Is it available online?,NOT STARTED,,
LOW,GA,Wilkinson,EMAIL_FOIA,(478) 946-2232,info@wilkinsoncounty.net,https://www.wilkinsoncounty.net/contact,"Send FOIA email requesting current excess proceeds/surplus funds list for Wilkinson, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,GA,Worth,EMAIL_FOIA,(229) 776-8204,worthtc058@gmail.com,https://www.worthcountytax.com/contact.html,"Send FOIA email requesting current excess proceeds/surplus funds list for Worth, Georgia. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
HIGH,HI,Hawaii County,EMAIL_FOIA,(808) 961-8201,cohrpt@hawaii.gov,https://www.hawaiicounty.gov/departments/finance/real-property-tax,"Send FOIA email requesting current excess proceeds/surplus funds list for Hawaii County, Hawaii. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
